id;user_id;vertial;is_active;created_by;created_on;updated_by;updated_on
1;10877;JMD;false;25612;2023-09-10;32147;2023-09-10
2;18920;PBG;false;27783;2023-09-10;19321;2023-09-10
3;8801;JMD;false;23160;2023-09-09;25221;2023-09-10
4;19562;PBG;false;16362;2023-09-09;30442;2023-09-09
5;21512;PBG;true;9671;2023-09-09;23374;2023-09-10
6;22880;JMD;false;12104;2023-09-10;13586;2023-09-09
7;4851;Ajio;false;17945;2023-09-10;14116;2023-09-10
8;14101;PBG;true;21933;2023-09-09;19317;2023-09-10
9;3995;RCPL;false;4652;2023-09-10;15704;2023-09-09
10;20154;RCPL;false;15632;2023-09-09;20490;2023-09-09
