id;status_type;is_active;created_by;created_on;updated_by;updated_on
1;Rejected;false;12205;2023-09-09;12434;2023-09-10
2;Draft;false;8804;2023-09-09;8116;2023-09-10
3;Pending;false;16543;2023-09-09;10036;2023-09-10
4;Approved;false;19371;2023-09-10;8858;2023-09-09
5;Draft;true;8747;2023-09-10;29848;2023-09-10
6;Approved;false;25125;2023-09-09;20629;2023-09-09
7;Approved;false;23539;2023-09-09;13411;2023-09-09
8;Approved;true;21720;2023-09-09;11289;2023-09-10
9;Pending;true;28299;2023-09-10;19523;2023-09-09
10;Pending;false;30024;2023-09-10;21222;2023-09-09
