id;name;vertial;channel;schedule;start_date;end_date;is_active;created_by;created_on;updated_by;updated_on
1;yahoo;JMD;SMS;Onetimem;2023-09-09;2023-09-09;true;32378;2023-09-09;21220;2023-09-09
2;enterprise nippy;PBG;PushNotification;Monthly;2023-09-09;2023-09-09;true;11725;2023-09-10;7797;2023-09-10
3;outstanding recent;Ajio;WhatsApp;Onetimem;2023-09-09;2023-09-09;true;14430;2023-09-10;19561;2023-09-10
4;plastic inside fete;RCPL;WhatsApp;Weekly;2023-09-09;2023-09-09;true;8655;2023-09-09;6802;2023-09-10
5;giddy;Ajio;SMS;Monthly;2023-09-09;2023-09-10;true;1609;2023-09-10;31271;2023-09-09
6;delayed valid;RCPL;PushNotification;Monthly;2023-09-09;2023-09-10;true;19741;2023-09-10;31760;2023-09-09
7;now;JMD;SMS;Onetimem;2023-09-10;2023-09-09;true;18981;2023-09-09;8188;2023-09-09
8;arrogantly;Ajio;Email;Monthly;2023-09-09;2023-09-09;false;25529;2023-09-10;2501;2023-09-10
9;now from;JMD;WhatsApp;Onetimem;2023-09-09;2023-09-09;true;3450;2023-09-09;3207;2023-09-09
10;manure instantly sandy;JMD;PushNotification;Monthly;2023-09-10;2023-09-09;true;842;2023-09-10;12448;2023-09-10
