id;count;event_type;is_active;created_by;created_on;updated_by;updated_on
1;381;Open;false;27072;2023-09-10;29108;2023-09-10
2;5633;PaySuccess;true;3180;2023-09-09;15607;2023-09-10
3;17542;Click;false;9638;2023-09-09;17809;2023-09-09
4;19685;PayInit;true;19777;2023-09-09;11365;2023-09-10
5;18509;PaySuccess;true;16710;2023-09-10;4015;2023-09-10
6;11347;Send;false;10371;2023-09-09;17409;2023-09-10
7;23794;Click;false;28291;2023-09-09;20878;2023-09-10
8;26907;PayInit;true;20055;2023-09-09;10493;2023-09-10
9;14817;Send;false;28025;2023-09-10;13657;2023-09-10
10;18429;PayInit;true;31118;2023-09-09;8364;2023-09-10
