id;ui_name;attribute_value;is_active;created_by;created_on;updated_by;updated_on
1;how;zowie upon noted;false;27712;2023-09-09;22078;2023-09-10
2;idiom neighboring;intensify;true;13796;2023-09-09;26072;2023-09-09
3;beneath er postmark;invite intensely enthusiastically;false;9299;2023-09-09;29145;2023-09-09
4;ultimately;back;false;23825;2023-09-09;20277;2023-09-10
5;from;pish;false;18260;2023-09-09;3293;2023-09-10
6;reunify;and needily;false;18108;2023-09-10;16225;2023-09-09
7;including constitution hm;crew regularly wheel;false;13570;2023-09-09;14136;2023-09-09
8;stamina corridor;brain;true;17465;2023-09-09;21996;2023-09-09
9;rough circa;even hideous solidly;true;32737;2023-09-09;29525;2023-09-10
10;phew hurt;outside more yak;true;32138;2023-09-10;11125;2023-09-10
