id;source_table;atrribute_mapping;is_active;created_by;created_on;updated_by;updated_on
1;whittle when brr;naturally what;false;32511;2023-09-09;30788;2023-09-10
2;barstool;clergyman;false;14246;2023-09-10;20416;2023-09-09
3;luminous;blah;false;17359;2023-09-09;15135;2023-09-10
4;extinguish bin nonsense;suppurate ugh;false;17290;2023-09-10;24642;2023-09-10
5;whoa regarding drum;number cumbersome;true;1250;2023-09-09;32522;2023-09-09
6;polarize;ill-informed;true;16580;2023-09-10;29564;2023-09-10
7;ugh longingly;eyebrow;true;30935;2023-09-10;27246;2023-09-10
8;spandex;valiantly phooey;true;5743;2023-09-09;10162;2023-09-10
9;joyously exasperation bookmark;exaggerate pro before;false;10290;2023-09-09;16410;2023-09-09
10;about;yippee before;false;11786;2023-09-09;4518;2023-09-09
