id;name;source_table;is_active;created_by;created_on;updated_by;updated_on
1;dry;somewhere;true;17432;2023-09-10;11032;2023-09-09
2;huzzah so sleepily;bowling around playfully;true;22047;2023-09-10;7211;2023-09-09
3;galvanise eating visual;abominate;true;219;2023-09-09;2098;2023-09-09
4;like;warm arm-rest;false;32593;2023-09-09;32339;2023-09-10
5;afterwards;cuddly donor;false;16700;2023-09-10;10017;2023-09-09
6;gosh;plus slimy;true;22774;2023-09-10;8269;2023-09-10
7;drown tremendously walrus;whereas when;true;28450;2023-09-10;860;2023-09-09
8;consequently slim;solicit;true;22910;2023-09-10;23593;2023-09-10
9;magnificent anti ack;inasmuch whoever meaningfully;true;2042;2023-09-09;24836;2023-09-10
10;pastoralist zowie;around over;false;12315;2023-09-09;275;2023-09-09
