id;name;title;is_active;created_by;created_on;updated_by;updated_on
1;alpenglow where meager;youthfully apprehensive;true;29242;2023-09-10;16;2023-09-10
2;joyfully gadzooks mount;gee furthermore swamp;false;21220;2023-09-09;19791;2023-09-09
3;apropos;mmm consequently;false;23087;2023-09-09;27751;2023-09-09
4;sadly;fooey upon;true;32190;2023-09-09;1946;2023-09-09
5;vice;worth;false;24817;2023-09-10;32757;2023-09-09
6;creative;community stress if;true;18976;2023-09-09;15772;2023-09-10
7;youthful;ugh usually that;false;11148;2023-09-10;16105;2023-09-09
8;grounded aha broadly;whenever descriptive;false;10041;2023-09-10;7761;2023-09-09
9;implement difficult only;poorly;true;7573;2023-09-10;27744;2023-09-10
10;past;whisker;true;16287;2023-09-09;20382;2023-09-09
