id;tag;param_type;replaced_by_atrribute;is_active;created_by;created_on;updated_by;updated_on
1;ordinary willing;Attribute;welch which entice;true;14570;2023-09-10;22581;2023-09-10
2;midst tiptoe;Attribute;fundraising yippee willow;false;6241;2023-09-09;24852;2023-09-10
3;since;Attribute;save gadzooks;true;25505;2023-09-09;23137;2023-09-09
4;trifling qua;Coupon;provided;true;534;2023-09-10;18980;2023-09-09
5;oh niece regarding;Attribute;slowly;true;7854;2023-09-09;12435;2023-09-09
6;out mmm inasmuch;Coupon;hmph;false;29135;2023-09-09;17786;2023-09-09
7;allocation anenst bump;Attribute;unto;false;1333;2023-09-10;28443;2023-09-09
8;dose huzzah victorious;Attribute;scrip consign;true;9212;2023-09-09;3646;2023-09-09
9;nerve;Coupon;provided ill-informed belie;true;2755;2023-09-10;22844;2023-09-09
10;sacrifice furiously whether;Attribute;where;false;18913;2023-09-10;30324;2023-09-09
